gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ensg00000005339.15	3789.393937	-0.156841599	0.146356348	-1.07164193	0.283880893	0.427067263
ensg00000005379.17	88.91898906	-1.579171817	0.455863701	-3.464131526	0.000531946	0.006772735
ensg00000005421.9	2.679980099	0.34933512	0.966535944	0.361430035	0.717777999	
ensg00000005436.14	129.8099588	0.523780531	0.270460526	1.936624682	0.052791239	0.136206882
ensg00000005448.17	2394.374864	-0.423434059	0.184425698	-2.295960179	0.021678158	0.078034305
ensg00000005469.12	96.91547198	0.785732885	0.390892706	2.010098612	0.044420753	0.1224018
ensg00000005483.23	543.2260877	0.3895561	0.239728103	1.624991373	0.104164397	0.21257983
ensg00000005486.17	1631.391007	-0.275185423	0.183686698	-1.498123849	0.134101076	0.252827263
ensg00000005513.11	11.32193218	0.574924892	0.718243337	0.800459764	0.423444466	
ensg00000005801.18	47.38954785	0.581567521	0.616017812	0.94407582	0.345130905	0.491022436
ensg00000005810.20	572.1832767	0.758293062	0.35091792	2.160884407	0.03070427	0.097055662
ensg00000005812.11	122.6454592	1.590331765	0.608166403	2.614961559	0.00892375	0.045350989
ensg00000005882.12	1158.822235	-0.473630557	0.250293816	-1.892298279	0.05845125	0.145622298
ensg00000005884.18	26186.18708	-0.590357502	0.200775892	-2.940380418	0.003278095	0.024354188
ensg00000005889.16	216.8748507	0.885532457	0.482058706	1.83698053	0.06621277	0.158037827
ensg00000005893.17	1524.207982	0.484856226	0.214796105	2.257285929	0.023990214	0.082999969
ensg00000005961.19	59.1027497	-1.556793441	0.578743824	-2.689952577	0.007146217	0.039705329
ensg00000006007.12	1201.102746	0.803861298	0.239342641	3.358621328	0.000783323	0.009003368
ensg00000006015.18	392.1676892	-0.416329988	0.243144146	-1.712276419	0.08684574	0.188165594
ensg00000006016.12	76.12457347	-1.500602509	0.34918984	-4.297383074	1.73E-05	0.000448333
ensg00000006025.13	609.5319634	-0.710516986	0.253097165	-2.807289393	0.004996034	0.03175167
ensg00000006042.12	157.0741875	-0.182427065	0.264874516	-0.688730149	0.4909931	0.626576405
ensg00000006062.18	2468.524752	-0.440677392	0.199829974	-2.20526172	0.027435734	0.090253965
ensg00000006118.15	3214.897006	-0.504653157	0.256053794	-1.970887246	0.048736774	0.129762396
ensg00000006125.18	6170.68381	0.908806792	0.378447088	2.401410451	0.016332006	0.06514126
ensg00000006194.11	1077.907299	-0.043467078	0.106329659	-0.408795427	0.682689796	0.782841923
ensg00000006210.7	42.13104253	-1.571254995	0.39797995	-3.948075769	7.88E-05	0.001537813
ensg00000006282.22	1157.143327	-0.716404813	0.297205046	-2.410473253	0.015931839	0.064124081
ensg00000006283.18	15.26650636	-0.940182989	0.953417517	-0.986118854	0.324074793	0.469944474
ensg00000006327.14	4391.667982	-0.103874724	0.257393289	-0.403564228	0.686533195	0.785846012
ensg00000006377.11	101.0871317	-0.752509879	0.362411602	-2.076395662	0.037857372	0.111156759
ensg00000006432.16	1102.449126	0.39510334	0.191501387	2.063187881	0.039094781	0.113157188
ensg00000006451.8	399.5544961	0.546036665	0.349861482	1.560722436	0.118589255	0.233024133
ensg00000006453.14	3284.322462	0.025359426	0.071722787	0.353575581	0.723656977	0.814068034
ensg00000006459.11	29.60964096	0.977814175	0.695460069	1.405996143	0.15972527	0.28410538
ensg00000006468.15	19.24355938	0.599257824	0.873720663	0.685868893	0.492795788	0.62836108
ensg00000006530.18	145.5799265	0.853699107	0.497454951	1.716133501	0.086137611	0.187386006
ensg00000006534.17	1283.052049	-0.257846804	0.194395134	-1.326405651	0.184705368	0.314930947
ensg00000006555.11	887.1643992	-0.662776724	0.201539797	-3.288565016	0.001006995	0.010668837
ensg00000006576.17	175.8968816	0.95104231	0.499690443	1.903262958	0.057006242	0.143818508
ensg00000006606.9	6.146545416	0.121609876	0.931476632	0.130556014	0.896126541	
ensg00000006607.14	543.6083355	0.349756173	0.116610571	2.999352207	0.002705543	0.021205957
ensg00000006611.17	7.15761044	-2.022885403	1.178403529	-1.716632167	0.086046401	
ensg00000006625.18	415.4080967	-0.270498647	0.145229832	-1.862555667	0.062524807	0.151821839
ensg00000006634.8	13.41715351	0.04156049	0.543529511	0.076464091	0.939049881	
ensg00000006638.13	46.27229593	-0.670133828	0.462860735	-1.44780876	0.147670542	0.269887667
ensg00000006652.15	356.7876881	1.598270361	0.663849912	2.407577876	0.016058737	0.064361203
ensg00000006695.12	532.8906769	-0.263922296	0.130635408	-2.020296793	0.043352611	0.120510803
ensg00000006704.11	3114.091446	-0.569568116	0.184077205	-3.094180597	0.001973573	0.016985544
ensg00000006712.15	2243.002435	0.132905536	0.130544713	1.0180844	0.308637848	0.453915451
ensg00000006715.16	325.256778	1.114491571	0.327797842	3.399935655	0.000674017	0.008062656
ensg00000006740.18	181.3983885	0.053475454	0.215669006	0.247951501	0.804171931	0.869229716
ensg00000006744.19	2790.050555	0.039294708	0.120266467	0.326730378	0.743871822	0.827606575
ensg00000006747.15	23.04708122	0.462399977	0.485255365	0.952900288	0.340640594	0.486566487
ensg00000006756.16	252.468108	-0.028677617	0.247164919	-0.116026245	0.907631742	0.94144241
ensg00000006757.12	263.219583	-0.437444798	0.155387423	-2.815187938	0.004874872	0.031300466
ensg00000006837.12	26.93542687	-0.274419914	0.408179066	-0.672302764	0.50139097	0.636292218
ensg00000007038.11	168.1960536	-0.328882355	0.456711296	-0.720109963	0.471457294	0.610045394
ensg00000007047.16	2129.147731	-0.630898981	0.204486295	-3.085287365	0.002033556	0.017377658
ensg00000007080.11	2635.055388	-0.352546403	0.267624938	-1.317315216	0.187732987	0.31875647
ensg00000007168.15	1652.337657	0.612316789	0.344422833	1.777805447	0.075435814	0.171506743
ensg00000007202.16	6153.033852	0.46877179	0.092672799	5.058353635	4.23E-07	2.03E-05
ensg00000007237.19	15.95950818	-1.16069538	0.63655403	-1.82340434	0.068242173	0.160939816
ensg00000007255.10	432.2143855	-1.114884819	0.255561697	-4.36248793	1.29E-05	0.000354336
ensg00000007264.15	102.8694229	-0.676886793	0.356958829	-1.896260121	0.057925657	0.14482386
ensg00000007341.19	58.57518539	1.271588544	0.542658049	2.343259344	0.01911609	0.072328197
ensg00000007376.8	1719.937676	-0.212162702	0.242471457	-0.875000729	0.381573509	0.527194338
ensg00000007384.15	1609.502355	-0.189216066	0.197208302	-0.959473125	0.337320452	0.483206163
ensg00000007392.17	467.9823349	0.408345919	0.165640124	2.465259675	0.013691399	0.05864911
ensg00000007402.12	16.37783731	-1.442743093	0.613293506	-2.35245128	0.018650133	0.071297623
ensg00000007516.15	82.93823557	0.086590099	0.528682046	0.16378483	0.869900534	0.915016079
ensg00000007520.4	1346.208205	-0.636740797	0.200874853	-3.169838265	0.001525238	0.014378027
ensg00000007541.17	1170.484643	-0.553197987	0.264091586	-2.094720226	0.03619587	0.108171378
ensg00000007545.16	1825.553014	-0.349538152	0.142887615	-2.446245258	0.014435277	0.060430052
ensg00000007866.22	3713.589087	-0.354941419	0.206697757	-1.717200144	0.085942609	0.187072318
ensg00000007923.17	2490.591614	-0.247839696	0.127996522	-1.936300246	0.052830939	0.136256326
ensg00000007944.15	267.3697318	0.431552077	0.16296673	2.648099267	0.008094575	0.042781201
ensg00000008018.9	2803.923211	0.380578713	0.123378918	3.084633257	0.002038033	0.017382296
ensg00000008056.14	77.75994608	0.401737456	0.305090647	1.316780636	0.187912165	0.318922594
ensg00000008083.14	1496.629159	-0.124802791	0.097885431	-1.274988422	0.20231334	0.336402083
ensg00000008086.13	136.4033248	1.099524181	0.455574061	2.413491626	0.015800491	0.063769704
ensg00000008128.23	1080.071157	-0.220970625	0.14473689	-1.526705625	0.126834228	0.243808682
ensg00000008130.15	3048.867351	-0.330797636	0.162385852	-2.037108726	0.041639148	0.117798349
ensg00000008256.17	2573.962825	-0.606494512	0.175000045	-3.465682032	0.000528888	0.006746751
ensg00000008277.15	46.52609629	0.808483432	0.491846301	1.643772515	0.100223201	0.207393958
ensg00000008282.10	391.4893568	0.73493153	0.393860413	1.865969531	0.062045628	0.150918106
ensg00000008283.16	2395.468457	-0.255500643	0.14486458	-1.763720597	0.077779032	0.174795131
ensg00000008294.22	1154.230682	0.630857138	0.30534932	2.066017824	0.038826797	0.112726471
